season,conference,playoff_spots,relegation_spots,note
2018,Premier League,4,3,EPL 2018/19 example season. playoff_spots stands in for the Champions League line (top four) - the upside-stakes race this league actually has. relegation_spots is REAL here (bottom three go down) which makes the example season the one place points_from_relegation_line has ground truth. For USL rows leave relegation_spots blank and config.ASSUMED_RELEGATION_SPOTS applies.
2017,Eastern,8,,USL 2017: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2017,Western,8,,USL 2017: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2018,Eastern,8,,USL 2018: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2018,Western,8,,USL 2018: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2019,Eastern,10,,USL Championship 2019: ten per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2019,Western,10,,USL Championship 2019: ten per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2020,Eastern,8,,USL Championship 2020 (COVID): the league played in eight regional groups and the top two of each group qualified - sixteen in all. Eight per conference is the conference-grain approximation of that line; the whole season sits inside the COVID window so its gates are excluded from the lag features anyway. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2020,Western,8,,USL Championship 2020 (COVID): the league played in eight regional groups and the top two of each group qualified - sixteen in all. Eight per conference is the conference-grain approximation of that line; the whole season sits inside the COVID window so its gates are excluded from the lag features anyway. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2021,Atlantic,4,,USL Championship 2021: four divisions (Atlantic; Central; Mountain; Pacific) and the top four of each qualified. The division is the conference here because it is the field a club was ranked against and the line it chased. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2021,Central,4,,USL Championship 2021: four divisions (Atlantic; Central; Mountain; Pacific) and the top four of each qualified. The division is the conference here because it is the field a club was ranked against and the line it chased. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2021,Mountain,4,,USL Championship 2021: four divisions (Atlantic; Central; Mountain; Pacific) and the top four of each qualified. The division is the conference here because it is the field a club was ranked against and the line it chased. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2021,Pacific,4,,USL Championship 2021: four divisions (Atlantic; Central; Mountain; Pacific) and the top four of each qualified. The division is the conference here because it is the field a club was ranked against and the line it chased. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2022,Eastern,7,,USL Championship 2022: seven per conference qualified (the top seed had a bye). relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2022,Western,7,,USL Championship 2022: seven per conference qualified (the top seed had a bye). relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2023,Eastern,8,,USL Championship 2023: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2023,Western,8,,USL Championship 2023: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2024,Eastern,8,,USL Championship 2024: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2024,Western,8,,USL Championship 2024: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2025,Eastern,8,,USL Championship 2025: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
2025,Western,8,,USL Championship 2025: eight per conference qualified. relegation_spots blank: no relegation in USL; config.ASSUMED_RELEGATION_SPOTS applies
